kid,chunks,err,tot,miss,geno,phaserate,genorate
1,1,237,7639,0,205,0.0310250032726797,0.0268359732949339
2,1,184,7639,0,157,0.0240869223720382,0.0205524283283152
3,1,1514,7639,0,292,0.198193480822097,0.0382248985469302
4,1,198,7639,0,166,0.025919622987302,0.0217305930095562
5,1,4182,7639,0,1130,0.547453855216651,0.147925121089148
6,1,163,7639,0,132,0.0213378714491426,0.0172797486582013
7,1,1050,7639,0,479,0.137452546144783,0.0627045424793821
8,1,40,7639,0,16,0.00523628747218222,0.00209451498887289
9,1,2216,7639,0,541,0.290090325958895,0.0708207880612646
10,1,1056,7639,0,175,0.138237989265611,0.0229087576907972
1,18,327,7234,0,148,0.0452032070776887,0.0204589438761404
2,18,446,7234,0,256,0.0616533038429638,0.0353884434614321
3,18,1242,7234,0,1002,0.171689245230854,0.138512579485762
4,18,1347,7234,0,291,0.186204036494332,0.0402267072159248
5,18,1556,7234,0,65,0.215095382914017,0.00898534697262925
6,18,531,7234,0,330,0.0734033729610174,0.0456179153995023
7,18,330,7234,0,98,0.0456179153995023,0.0135471385125795
8,18,271,7234,0,140,0.0374619850705004,0.0193530550179707
9,18,263,7234,0,96,0.0363560962123307,0.013270666298037
10,18,315,7234,0,80,0.0435443737904341,0.0110588885816975
1,9,695,7335,0,110,0.0947511929107021,0.0149965916837082
2,9,1054,7335,0,573,0.143694614860259,0.078118609406953
3,9,3593,7335,0,55,0.489843217450579,0.00749829584185412
4,9,1499,7335,0,547,0.204362644853442,0.074573960463531
5,9,2023,7335,0,19,0.275800954328562,0.00259032038173142
6,9,388,7335,0,100,0.0528970688479891,0.0136332651670075
7,9,861,7335,0,183,0.117382413087935,0.0249488752556237
8,9,335,7335,0,33,0.0456714383094751,0.00449897750511247
9,9,389,7335,0,333,0.0530334014996592,0.045398773006135
10,9,624,7335,0,361,0.0850715746421268,0.0492160872528971
1,1,244,7835,0,227,0.0311423101467773,0.0289725590299936
2,1,91,7835,0,75,0.0116145500957243,0.00957243139757498
3,1,36,7835,0,20,0.00459476707083599,0.00255264837268666
4,1,3341,7835,0,352,0.426419910657307,0.0449266113592853
5,1,227,7835,0,198,0.0289725590299936,0.025271218889598
6,1,164,7835,0,135,0.0209317166560306,0.017230376515635
7,1,109,7835,0,82,0.0139119336311423,0.0104658583280153
8,1,827,7835,0,105,0.105552010210593,0.013401403956605
9,1,50,7835,0,28,0.00638162093171666,0.00357370772176133
10,1,153,7835,0,135,0.019527760051053,0.017230376515635
1,2,143,7525,0,107,0.0190033222591362,0.01421926910299
2,2,64,7525,0,32,0.00850498338870432,0.00425249169435216
3,2,115,7525,0,70,0.0152823920265781,0.00930232558139535
4,2,67,7525,0,14,0.00890365448504983,0.00186046511627907
5,2,107,7525,0,63,0.01421926910299,0.00837209302325581
6,2,4397,7525,0,473,0.584318936877076,0.0628571428571429
7,2,240,7525,0,30,0.0318936877076412,0.00398671096345515
8,2,190,7525,0,142,0.0252491694352159,0.0188704318936877
9,2,2283,7525,0,382,0.303388704318937,0.0507641196013289
10,2,101,7525,0,65,0.013421926910299,0.00863787375415282
1,3,386,7517,0,324,0.0513502727151789,0.0431023014500466
2,3,312,7517,0,275,0.0415059199148596,0.0365837435147
3,3,224,7517,0,155,0.0297991219901556,0.0206199281628309
